Year,Author,Task,Technique
2000,Kiernan,Composer Identification,Self Organizing Maps
2003,Harford,Melody Identification,Self Organizing Maps
2010,Eyben et al.,Onset Detection,BLSTM
2010,Hamel and Eck,Feature Extraction,DBN
2010,Raczynski et al.,Multi-F0 Detection,DBN
2011,Dieleman et al.,"Artist Recognition, Genre Recognition, Key Detection",CNN
2012,Battenberg and Wessel,Drum Transcription,DBN
2012,Humphrey and Bello,Chord Recognition,CNN
2013,Boulanger-Lewandowski et al.,Chord Recognition,RNN
2013,Schmidt and Kim,Feature Extraction,DBN
2014,Cancino Chacon et al.,Perception of Tonality,RBM
2014,Cherla et al.,Feature Extraction,MLP
2014,Herwaarden et al.,Expressive Dynamics,RBM
2014,Huang et al.,Voice Separation,RNN
2014,Sigtia et al.,Music Transcription,RNN
2014,Ulrich et al.,Structural Analysis,CNN
2015,Boeck et al.,Tempo Estimation,RNN
2015,Grill and Schlueter,Structural Analysis,CNN
2015,Liang et al.,Music Recommendation,MLP
2015,Sigtia et al.,Chord Recognition,RNN
2015,Zhou and Lerch,Chord Recognition,DBN
2016,Boeck et al.,Beat and Downbeat,RNN
2016,Choi et al.,Music Tagging,CNN
2016,Krebs et al.,Downbeat,RNN
2016,Kum et al.,Melody Extraction,MCDNN
2016,Lambert et al.,Metre Extraction,AFNN
2016,Liu and Randall,Missing Part Generation,BLSTM
2016,Lostanlen and Cella,Instrument Recognition,CNN
2016,Rigaud and Radenen,Melody Transcription,BLSTM
2016,Sigtia et al.,Piano Transcription,RNN
2016,Southall et al.,Drum Transcription,BRNN
2016,Vogl et al.,Drum Transcription,RNN
2017,Calvo-Zaragoza et al.,Optical Music Recognition,CRNN
2017,Calvo-Zaragoza et al.,Optical Music Recognition,CNN
2017,Gkiokas and Katsouros,Beat Tracking,CNN
2017,Jansson et al.,Source Separation,U-Net
2017,Liang et al.,Music Generation,LSTM
2017,Lim et al.,Chord Generation,BLSTM
2017,Miron et al.,Source Separation,CNN
2017,Pons et al.,Syllable Segmentation,CNN
2017,Southall et al.,Drum Transcription,Attention BRNN
2017,Vogl et al.,Drum Transcription,CRNN
2017,van der Wel and Ullrich,Optical Music Recognition,CRNN
2017,Yang et al.,Music Generation,GAN
2017,Ycart and Benetos,Sequence Modelling,LSTM
2018,Basaran et al.,Melody Transcription,CRNN
2018,Calvo-Zaragoza and Rizo,Optical Music Recognition,CRNN
2018,Castellanos et al.,Optical Music Recognition,SAE
2018,Dawson and Zielinski,Key Detection,MLP
2018,Delbouys et al.,Mood Detection,LSTM
2018,Gururani et al.,Instrument Recognition,CRNN
2018,Hajic et al.,Optical Music Recognition,U-Net
2018,Korzeniowski and Widmer,Key Detection,CNN
2018,Pacha and Calvo-Zaragoza,Optical Music Recognition,CNN
2018,Schreiber and Mueller,Tempo Estimation,CNN
2018,Sears et al.,Chord Recognition,RNN
2018,Stoller et al.,Source Separation,U-Net
2018,de Valk and Weyde,Symbolic Voice Separation,MLP
2019,Schreiber and Mueller,"Tempo Estimation, Key Detection",CNN
